Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6096e-01,0.83,0.36,0.35,0.0135
-1.6094e-01,0.79,0.32,0.39,0.0155
-1.6093e-01,0.83,0.36,0.39,0.0155
-1.6091e-01,0.83,0.36,0.39,0.0155
-1.6090e-01,0.79,0.32,0.39,0.0155
-1.6088e-01,0.79,0.36,0.39,0.0155
-1.6086e-01,0.83,0.36,0.39,0.0155
-1.6085e-01,0.79,0.36,0.39,0.0155
-1.6083e-01,0.79,0.36,0.35,0.0155
-1.6082e-01,0.79,0.36,0.39,0.0155
-1.6080e-01,0.79,0.36,0.39,0.0155
-1.6078e-01,0.79,0.36,0.35,0.0155
-1.6077e-01,0.79,0.36,0.39,0.0155
-1.6075e-01,0.83,0.32,0.35,0.0155
-1.6074e-01,0.83,0.36,0.19,0.0015
-1.6072e-01,0.79,0.4,0.23,0.0155
-1.6070e-01,0.79,0.36,0.23,0.0115
-1.6069e-01,0.83,0.36,0.23,0.0095
-1.6067e-01,0.83,0.36,0.23,0.0095
-1.6066e-01,0.79,0.36,0.23,0.0095
-1.6064e-01,0.39,0.36,-0.05,0.0095
-1.6062e-01,0.39,0.36,-0.05,0.0035
-1.6061e-01,0.39,0.36,-0.05,-0.000499995
-1.6059e-01,0.39,0.32,-0.05,-0.000499995
-1.6058e-01,0.39,0.32,-0.05,-0.000499995
-1.6056e-01,0.39,0.36,-0.01,-0.000499995
-1.6054e-01,0.39,0.36,-0.05,0.0015
-1.6053e-01,0.39,0.32,-0.05,0.0015
-1.6051e-01,0.39,0.36,-0.05,0.0015
-1.6050e-01,0.39,0.36,-0.05,-0.000499995
-1.6048e-01,0.39,0.36,-0.05,-0.000499995
-1.6046e-01,0.39,0.32,-0.05,-0.000499995
-1.6045e-01,0.39,0.36,-0.05,0.0015
-1.6043e-01,0.39,0.36,-0.05,-0.000499995
-1.6042e-01,0.39,0.4,-0.05,-0.000499995
-1.6040e-01,0.39,0.36,-0.01,-0.0025
-1.6038e-01,0.39,0.36,-0.01,-0.000499995
-1.6037e-01,0.39,0.36,-0.01,-0.000499995
-1.6035e-01,0.39,0.36,-0.05,-0.000499995
-1.6034e-01,0.43,0.32,-0.01,-0.000499995
-1.6032e-01,0.39,0.36,-0.05,-0.0025
-1.6030e-01,0.39,0.36,-0.01,0.0015
-1.6029e-01,0.39,0.36,-0.05,-0.000499995
-1.6027e-01,0.39,0.36,-0.05,-0.000499995
-1.6026e-01,0.39,0.36,-0.05,-0.000499995
-1.6024e-01,0.39,0.36,-0.05,-0.000499995
-1.6022e-01,0.39,0.4,-0.05,-0.000499995
-1.6021e-01,0.39,0.36,-0.05,-0.000499995
-1.6019e-01,0.39,0.36,0.07,0.0075
-1.6018e-01,0.39,0.36,0.11,-0.000499995
-1.6016e-01,0.39,0.36,0.11,0.0075
-1.6014e-01,0.35,0.36,0.11,0.0035
-1.6013e-01,0.39,0.36,0.11,0.0055
-1.6011e-01,0.39,0.36,0.07,0.0055
-1.6010e-01,0.39,0.4,0.07,0.0035
-1.6008e-01,0.39,0.36,0.11,0.0055
-1.6006e-01,0.43,0.32,0.11,0.0035
-1.6005e-01,0.35,0.36,0.07,0.0035
-1.6003e-01,0.39,0.36,0.07,0.0055
